E NO.,GENERAL NAME,SCIENTIFIC NAME ,PACKAGING NAME,CATEGORY OPTION,FOUND IN INDIAN FOOD,INDIAN PRODUCT EXAMPLE,FSSAI STATUS,EU STATUS,FDA STATUS,ADI MG PER KG BW,METABOLISM ROUTE,ACCUMULATES IN BODY,SOLUBILITY,CARCINOGENIC RISK,ALLERGIC REACTIONS,REACTION SEVERITY,POPULATION SENSITIVITY PERCENT,MEDICATION INTERACTIONS,DIABETES TYPE 2 (SCORE),HYPERTENSION (SCORE),ASTHMA (SCORE),CELIAC DISEASE (SCORE),IBS (SCORE),CHRONIC KIDNEY DISEASE (SCORE),LIVER DISEASE (SCORE),THYROID DISORDERS (SCORE),AUTOIMMUNE CONDITIONS (SCORE),ADHD (SCORE),HEART DISEASE (SCORE),PREGNANCY (SCORE),LACTATION (SCORE),INFANTS O TO 2 YRS (SCORE),CHILDREN 3 TO 12 YRS (SCORE),ELDERLY 60+ (SCORE),PEANUT ALLERGY (SCORE),SHELFISH ALLERGY (SCORE),DAIRY ALLERGY (SCORE),GLUTEN SENSITIVITY (SCORE),SOY ALLERGY (SCORE)
,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E102,TARTRAZINE,Trisodium 5-hydroxy-1-(4-sulfonatophenyl)-4-(4-sulfonatophenylazo)-H-pyrazol-3-carboxylate,TARTRAZINE,COLOURENT,YES,"TANG,RASNA,ALPELLIEBE",APPROVED,APPROVED(MAY HAVE ADVERSE AFFECT ON ACTIVITY AND ATTENTION IN CHILDREN,APPROVED,10,GUT,NO,WATER,SUSPECTED,"SKIN RASH,HIVES, BREATHING ISSUES",MODERATE,1 TO 2,NO,0,0,0.33,0,0.33,0.33,0.33,0,0.33,0.33,0,0.33,0.33,0.67,0.33,0,0,0,0,0,0
E110,SUNSET YELLOW FCF,Disodium 6-hydroxy-5-[(4-sulfophenyl)azo]-2-naphthalenesulfonate,SUNSET YELLOW FCF,COLOURENT,YES,"FANTA,MIRANDA,INSTANT NOODLES",APPROVED,APPROVED,APPROVED,4,GUT,NO,WATER,SUSPECTED,"SKIN RASH,HIVES, BREATHING ISSUES",MILD,1 TO 2,NO,0,0,0.33,0,0.33,0.33,0.33,0,0.33,0.33,0,0.33,0.33,0.67,0.33,0,0,0,0,0,0
E124,PONCEAU 4R,"Trisodium-2-hydroxy-1-(4-sulfonato-1-naphthylazo)-6,8-naphthalenedisulfonate",PONCEAU 4R,COLOURENT,YES,"FRUIT JELLY,COLOURED CONFEXITIONARY",APPROVED,APPROVED,BANNED,4,GUT,NO,WATER,SUSPECTED,"SKIN RASH,HIVES, BREATHING ISSUES",MODEARTE ,1 TO 2,NO,0,0,0.33,0,0.33,0.33,0.33,0,0.33,0.33,0,0.33,0.33,0.67,0.33,0.33,0,0,0,0,0
E129,ALLURA RED AC,Disodium 6-hydroxy-5-[(2-methoxy-5-methyl-4-sulfophenyl)diazenyl]naphthalene-2-sulfonate,ALLURA RED AC,COLOURENT,YES,COCO COLA PRODUCTS,APPROVED,APPROVED,APPROVED,7,GUT AND LIVER,NO,WATER,SUSPECTED,"SKIN RASH,HIVES, BREATHING ISSUES",MODEARTE ,1 TO 2,NO,0,0,0.33,0,0.33,0.33,0.33,0,0.33,0.33,0,0.33,0.33,0.67,0.33,0.33,0,0,0,0,0
E211,SODIUM BENZOATE,Sodium Benzoate,SODIUM BENZOATE,PRESERVATIVE,YES,"LIMCA,MAZZA,FROOTI",APPROVED,APPROVED,APPROVED,5,LIVER,NO,WATER,SUSPECTED,"SKIN RASH,HIVES, BREATHING ISSUES",MODEARTE ,1 TO 2,YES(interacts with certain anticonvulsants and aspirin in sensitive individuals),0,0,0.33,0,0.33,0.33,0.33,0,0.33,0.33,0,0.33,0.33,0.67,0.33,0,0,0,0,0,0
E212,POTASSIUM BENZOATE,Potassium Benzoate,POTASSIUM BENZOATE,PRESERVATIVE,YES,"DIET SOFT DRINKS,FRUIT PRESERVES,PICKLE",APPROVED,APPROVED,APPROVED,5,LIVER,NO,WATER,SUSPECTED,"SKIN RASH,HIVES, BREATHING ISSUES",MODEARTE ,1 TO 2,"YES(anticonvulsants, aspirin in sensitive individuals)",0,0,0.33,0,0.33,0.67,0.33,0,0.33,0.33,0,0.33,0.33,0.67,0.33,0.33,0,0,0,0,0
E220,SULPHAR DIOXIDE,Sulphar Dioxide,SULPHAR DIOXIDE,PRESERVATIVE,YES,"DIRED FRUITS ,PACKAGED FRUIT JUICES",APPROVED,APPROVED,APPROVED,0.7,DIRECT EXCRETION,NO,WATER,NO,"SKIN RASH,HIVES, BREATHING ISSUES",SEVER,"0.5-1% general population, up to 10% in asthmatics","YES(bronchodilators, disulfiram)",0,0,0.67,0,0.33,0.67,0.33,0,0.33,0,0,0.33,0.33,1,0.33,0.33,0,0,0,0,0
E250,SODIUM NITARTE,Sodium Nitrate,SODIUM NITARTE,PRESERVATIVE,YES,"VENKY'S PROCESSED MEATS, IMPORTED SALAMI AND HAM",APPROVED,APPROVED,APPROVED,0.07,KIDNEY,YES,WATER,SUSPECTED,"HEADACHE,FLUSHING,HIVES,BREATHING ISSUES",SEVER,1 TO 3,"YES(blood pressure meds, blood thinners)",0.33,0.67,0.33,0,0.33,0.67,0.33,0.33,0.33,0,0.33,0.33,0.33,1,0.67,0.33,0,0,0,0,0
E621,MONOSODIUM GLUTAMATE,Monosodium Glutamate,MSG,FLAVOUR ENHANCER,YES,"NESTLE MAGGI,KNORR SOUP",APPROVED,APPROVED,APPROVED,NOT SPECIFIED,GUT,NO,WATER,NO,"HEADACHE,SKIN RASH,HIVES,BREATHING ISSUES",MILD,1 TO 2,YES[MAO inhibitors (antidepressants)],0.33,0.33,0.33,0,0.33,0.33,0.33,0,0,0.33,0.33,0,0,0.67,0.33,0.33,0,0,0,0,0
